Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Units,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator
Acceptable PM2.5 AQI & Speciation Mass,88502,143,Intermittent,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPM-0202-143 or RFPS-0498-117,R & P Model 2000 Air Sampler with BGI VSCC,2.0,,5000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,184,Continuous,Thermo Scientific Model 5030 SHARP w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0609-184,Thermo Scientific Model 5030 SHARP w/VSCC,5.0,-10.0,5000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,195,Continuous,GRIMM EDM Model 180 with naphion dryer,Laser Light Scattering,Micrograms/cubic meter (LC),FEM,EQPM-0311-195,GRIMM EDM Model 180 for FEM,0.1,0.0,1500.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,203,Continuous,Opsis SM200-Dust Monitor w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0812-203,Opsis SM200-Dust Monitor VSCC FEM,2.0,-10.0,1000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,204,Continuous,Teledyne Model 602 Beta plus w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0912-204,Teledyne Model 602 Beta plus VSCC FEM,2.0,-10.0,1500.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,236,Continuous,Teledyne T640 at 5.0 LPM,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-236,T-API T640 at 5.0 LPM,0.1,0.0,10000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,238,Continuous,Teledyne T640X at 16.67 LPM,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-238,T-API T640X at 16.67 LPM,0.1,0.0,10000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,636,Continuous,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-236,T-API T640 at 5.0 LPM w/Network Data Alignment enabled,1.0,0.0,10000.0,1,T
Acceptable PM2.5 AQI & Speciation Mass,88502,638,Continuous,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-238,T-API T640X at 16.67 LPM w/Network Data Alignment enabled,1.0,0.0,10000.0,1,T
Ammonia,42604,121,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per million,FRM,RFNA-0798-121,DDK CORP MODEL GLN-114E,0.005,-0.005,,3,R
Average Ambient Pressure,68108,170,Continuous,Met One BAM-1020 Mass Monitor,Barometric Sensor,Millimeters (mercury),FEM,EQPM-0308-170,Met One BAM-1020 PM2.5 FEM,2.0,-10.0,1000.0,1,R
Average Ambient Temperature,68105,170,Continuous,Met One BAM-1020 Mass Monitor,Electronic,Degrees Centigrade,FEM,EQPM-0308-170,Met One BAM-1020 PM2.5 FEM,2.0,-10.0,1000.0,1,R
Average Ambient Temperature,68105,545,Intermittent,Met One E-SEQ-FRM with VSCC,Electronic,Degrees Centigrade,FRM,RFPS-0717-245,Met One E-SEQ-FRM PM2.5 with VSCC,-40.0,-40.0,55.0,1,R
Carbon monoxide,42101,008,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0276-008,BENDIX 8501-5CA,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,012,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0876-012,BECKMAN 866,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,018,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0177-018,MSA  202S,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,033,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-1278-033,HORIBA AQM-10--11--12,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,041,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0979-041,MONITOR LABS 8310,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,048,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-1180-048,HORIBA 300E/300SE,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,050,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-1280-050,MASS-CO 1 (MASSACHUSETTS),0.5,-0.4,50.0,1,R
Carbon monoxide,42101,051,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0381-051,DASIBI 3003,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,054,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0981-054,"THERMO ELECTRON 48, 48C, 48i",0.5,-0.4,50.0,1,R
Carbon monoxide,42101,066,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0388-066,MONITOR LABS 8830,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,067,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED,Parts per million,FRM,RFCA-0488-067,DASIBI 3008,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,088,Continuous,INSTRUMENTAL,NONDISPERSIVE INFRARED PHOTOMETRY,Parts per million,FRM,RFCA-0992-088,LEAR SIEGLER MODEL ML 9830,0.5,-0.4,50.0,1,R
Carbon monoxide,42101,093,Continuous,INSTRUMENTAL,GAS FILTER CORRELATION CO ANALYZER,Parts per million,FRM,RFCA-1093-093,API MODEL 300 GAS FILTER,0.5,-0.4,50.0,1,R
